id,title,meters,anacrusis_ms,n_notes,n_downbeats,monophonic,n_parts,analyzed_key
essenFolksong_altdeu10_op017,Tageweis von der Koenigstochter und dem jungen Grafen,4/2|4/4|4/2|4/4|4/2|4/4|4/2|4/4|4/2,2000,53,21,True,1,F major
essenFolksong_altdeu10_op018,Tanhaeuser,4/1,6000,31,10,True,1,F major
essenFolksong_altdeu10_op019,Tanhuser,3/4,250,31,8,True,1,C major
essenFolksong_altdeu10_op020,Der Bremberger,4/2,3000,36,16,True,1,B- major
essenFolksong_altdeu10_op021,Der Bremberger,6/8,250,44,10,True,1,G minor
essenFolksong_altdeu10_op022,Zwei Wasser. (Schwimmersage),3/1,2000,30,15,True,1,G minor
essenFolksong_altdeu10_op023,Zwei Wasser. (Schwimmersage),3/1,2000,36,15,True,1,G minor
essenFolksong_altdeu10_op024,Zwei Wasser. (Schwimmersage),3/1,2000,32,15,True,1,F major
essenFolksong_altdeu10_op025,Schwimmersage,3/2,1000,30,15,True,1,G minor
essenFolksong_altdeu10_op026,Zwei Koenigskinder,3/4,500,35,16,True,1,G minor
essenFolksong_altdeu10_op027,Zwei Koenigskinder,3/4,500,32,16,True,1,G minor
essenFolksong_altdeu10_op028,Das Schloss in Oesterreich,6/2|8/4|6/2,3000,42,10,True,1,F major
essenFolksong_altdeu10_op029,Das Schloss in Oesterreich,3/2,0,37,17,True,1,F major
essenFolksong_altdeu10_op030,Das Schloss im Oberland (Falkenstein),4/2|3/2|4/2,1000,41,11,True,1,F major
essenFolksong_altdeu10_op031,Herr von Falkenstein,4/4,500,35,8,True,1,G minor
essenFolksong_altdeu10_op032,Der gefangene Hans,3/2,1000,42,18,True,1,D minor
essenFolksong_altdeu10_op033,Peter Unverdorben,4/2,1000,36,7,True,1,C major
essenFolksong_altdeu10_op034,Die Frau zur Weissenburg,3/2,1000,35,16,True,1,G minor
essenFolksong_altdeu10_op035,Die Frau von Luxemburg,4/4,1500,34,11,True,1,G minor
essenFolksong_altdeu10_op036,Die drei Grafen,4/2,1000,29,8,True,1,A minor
essenFolksong_altdeu10_op037,Vom jungen Grafen,6/4,500,43,10,True,1,D minor
essenFolksong_altdeu10_op038,Treue Liebe,3/2,0,35,16,True,1,F major
essenFolksong_altdeu10_op039,Unter der Linde,3/2,1000,38,16,True,1,A minor
mozart_k545_movement1_exposition,,4/4,0,191,12,False,2,C major
chopin_mazurka06-2,"Mazurka in C-sharp Minor, Op. 6, No. 2",3/4,0,787,75,False,2,C# minor
schumann_clara_polonaise_op1n1,,3/4,0,1810,84,False,2,E- major
schumann_clara_polonaise_op1n2,,3/4,0,2158,96,False,2,C major
schumann_clara_polonaise_op1n3,,3/4,0,1249,64,False,2,D major
schumann_clara_polonaise_op1n4,,3/4,0,1154,80,False,2,C major
cpebach_h186,,4/4,0,804,32,False,2,F# minor
mozart_k155_movement1,,4/4,0,2456,119,False,4,D major
beethoven_opus18no1_movement2,"String Quartet No. 1 in F Major, Op. 18, No. 1",9/8,0,2903,110,False,4,D minor
